Онигири Лосось,69.99 
Онигири Сурими,59.99 
Онигири Ветчина с сыром,59.99 
Онигири Курица Спайси,59.99 
Котлета куриная с гречкой 75/150г,115 
Свекла шинкованная,779.70 
Куриное филе с ананасом и сыром,759 
Баклажаны пикантные,2637 
Папоротник с мясом,1739.70 
Салат Прибой,439 
Буженина горячего копчения ФК,989.90 
Окорочка горячего копчения ФК,699.90 
Колбаски мясные копченые ФК,699.90 
Салат из моркови с грибами ФК,659 
Кабачки по-венски,769 
Оладьи из печени,659 
Навага жареная,279.90 
Стейк из свинины по-кавказски п/ф ФК,569.90 
Стейк из свинины в Нежном маринаде п/ф ФК,539.90 
Луковые кольца фри,689 
Картофель фри,689.90 
Колбаски для жарки из свинины Украинские п/ф ФК,569.90 
Мясо свинины в Брусничном маринаде п/ф ФК,529.90 
Мясо свинины в Нежном маринаде п/ф ФК,529.90 
Бедро куриное в маринаде п/ф ФК,419.90 
Салат из фунчозы с овощами,459 
Суп-пюре грибной 250г,88 
Бургер Джуниор с говяжьей котлетой 220г,150 
Хлеб ржано-пшеничный Тостовый 300г,56.97 
Хлеб пшеничный Тостовый 300г,47.97 
Фарш из говядины 2 сорт охлажденный п/ф,749.90 
Стейк из лосося для гриля п/ф,639.90 
Шарлотка Яблочная 400г,399.90 
Блинчики со сгущёнкой 200г,65 
Салат Гнездо глухаря,789.90 
Лепешка Узбекская с сыром 340г Тандыр,69 
Печенье Ромашка,659.90 
Плов с говядиной 300г,175 
Печенье Американское с орехом,579.90 
Печенье песочное с семенами подсолнечника,659.90 
Картофель отварной с укропом,409.90 
Хлеб мультизерновой Тостовый 300г,54.90 
Наггетсы куриные 150г,150 
Сырные палочки 120/30г,170 
Луковые кольца фри 150г,150 
Картофель фри соломка 130г,177.27 
Картофель фри дольками 130г,177.27 
Бургер Дядя Сэм 310/30/30г,347.57 
Шеф Бургер 310/30/30г,250 
Бургер Джуниор с куриной котлетой 250г,152.18 
Бургер Чикен Фри 310/30/30г,280.30 
Печенье Американское с шоколадом,579.90 
Печенье Творожное,749.90 
Лепешка Узбекская 330г Тандыр,49 
Лепешка Грузинская 400г Тандыр,66 
Мини багет Французский 150г,23.90 
Сосиска в тесте 90г,49.99 
Говядина на кости охл.,529.90 
Говядина мякоть охл.,890 
Фарш из свинины охл.,599 
Фарш домашний п/ф,599 
Десерт Дамские пальчики 200г,669.90 
Рулет бисквитный Брусничный,479.90 
Омлет,369.90 
Котлета куриная на пару,659.90 
Голубцы домашние п/ф,499 
Тефтели мясные с рисом п/ф,625 
Котлета домашняя п/ф,625 
Фарш из говядины высший сорт охл. п/ф,789 
Котлета куриная п/ф,549 
Фарш куриный п/ф,529 
Сосиска к завтраку 155г,70 
Печенье Дюшес,749.90 
Блины дрожжевые на молоке,289.90 
Салат из свеклы с майонезом,449.90 
Свекла отварная,230 
Печенье Брауни с брусникой,619.90 
Сырники творожные,689.90 
Блинчики с творогом,489.90 
Салат Пекин 220/50г,139.90 
Салат овощной Грузинский,449.90 
Драники,499.90 
Наггетсы куриные фри,699.90 
Блинчики с мясом и рисом,509.90 
Хлеб белый (из муки высшего сорта) 500г,34.90 
Салат Цезарь с курицей с горчичной заправкой 200/50г,210 
Салат Винегрет,489.90 
Салат Мимоза,569.90 
Салат Оливье,579.90 
Свинина на кости охл.,259.90 
Пампушка Украинская 200г,259.90 
Печенье Ванильное,549.90 
Чиабатта,219.60 
Хлеб Вестфальский 300г,57.90 
Хлеб белый (из муки высшего сорта) 300г,26.90 
Чиабатта с чесноком,239.60 
Хлеб с сыром 150г,34.90 
Чиабатта луковая,239.60 
Булочки сырные,799 
