Джем клубника Абрико 330г,67.98 
Молоко кокосовое 60% AROY-D 500мл,429.98 
Мёд липовый в соте Избранное Берестов А.С. 200г,498.88 
Джем Абхазские сады Киви 300г,197.69 
Конфитюр Едим дома Апельсин/имбирь без сахара 310г,209.98 
Джем слива Мирабелла St.Dalfour 284г,349.98 
Джем кумкват St.Dalfour 284г,349.98 
Джем черника St.Dalfour 284г,349.98 
Джем ежевика St.Dalfour 284г,349.98 
Джем клюква/черника St.Dalfour 284г,349.98 
Джем малина/гранат St.Dalfour 284г,349.98 
Джем клубника/ревень St.Dalfour 284г,349.98 
Джем малина St.Dalfour 284г,349.98 
Джем Light Манго с какао-крупкой 180г,149.98 
Мед Алтайцвет Горный Избранное 200г,249.98 
Сироп Карамель Proff syrup 250мл,269.98 
Джем сливовый Махеев 300г,118.98 
Топпинг Мягкая Карамель Махеев 300г,169.98 
Фито-Мармелад желе клубника/розмарин/чиа Махеев 230г,129.98 
Джем груша и банан с ванилью Махеев 300г,118.98 
Мёд гречишный Медовая семья 1000г,419.98 
Варенье черная смородина История 240г,99.98 
Варенье черника История 240г,109.98 
Варенье клубника История 240г,99.98 
Мёд таёжный Медовая семья 1000г,419.98 
Мёд таёжный Медовая семья 400г,199.98 
Джем Terra Frutta апельсин/киви 200г,149.98 
Джем Terra Frutta апельсин/лимон/имбирь 200г,149.98 
Джем Terra Frutta апельсин/манго 200г,149.98 
Молоко кокосовое Ampawa 17% 400г,149.89 
Джем St.Dalfour яблоко/корица 284г,349.98 
Джем St.Dalfour манго/маракуйя 284г,349.98 
Мёд цветочный 1кг,359.98 
Молоко кокосовое Ampawa Asiatic Agro Indastry 250г,119.98 
Суфле медовое Медовый дом апельсин 250г,199.98 
Мед цветочный с прополисом Берестов А.С. 200г,279.98 
Мед липовый Медовая семья 150г,90 
Мед таежный Медовая семья 150г,114.98 
Мед гречишный Медовая семья 400г,199.98 
Мёд цветочный Медовая семья 150г,99.98 
Повидло клубнично-яблочное Мама сказала! 1кг,109.99 
Сироп брусника с черникой Lesnika 300мл,147.98 
Сироп брусника с черникой Lesnika 500мл,239.98 
Варенье крыжовниковое Спасский 420г,179.98 
Сироп Шиповниковый BioNergy 200мл,149.98 
Сироп Клубничный Бионержи 200мл,149.98 
Сироп Облепиховый Бионержи 200мл,149.98 
Мед липовый с лимонником Lesnika 250г,197.98 
Джем клубника Делфур 284г,349.98 
Варенье из кедровых шишек с кедровыми орешками Самбери 290г,317.98 
Варенье из сосновых шишек Самбери 290г,317.98 
Сироп кленовый Maple Joe 189мл,528.68 
Повидло яблочное Мама сказала! 1кг,109.99 
Повидло абрикосово-яблочное Мама сказала! 1кг,109.99 
Повидло вишнево-яблочное Мама сказала! 1кг,109.99 
Мёд цветочный призма 350г Башкирские пасеки,318.98 
Мёд липовый призма 350г Башкирские пасеки,428.98 
Мед липовый Lesnika 250г,153.98 
Мед гречишный Lesnika 250г,139.98 
Мед липовый с пыльцой Lesnika 250г,197.98 
Мед липовый с женьшенем Lesnika 250г,197.98 
Мед таёжный Lesnika 450г,223.98 
Мед таёжный Lesnika 250г,133.98 
Мед липовый Lesnika 450г,253.98 
Джем Персик и Манго 400г Махеев,229.98 
Джем апельсин Делфур 284г,349.98 
Сироп черника Lesnika 300мл,147.98 
Джем персик Делфур 284г,349.98 
Джем ананас-манго Делфур 284г,349.98 
Джем Сава вишневый с кусочками 300г,89.68 
Варенье Сава жимолость 300г,219.98 
Варенье Сава облепиха 300г,169.98 
Варенье абрикосовое Ратибор 400г,207.98 
Варенье персик с лаймом Царская ягода 360г,159.68 
Варенье из слив с лимоном и имбирем по-домашнему Царская ягода 360г,167.88 
Варенье абрикосовое Вологодское 370г,194.98 
Варенье персиковое Лукашинские 450г,257.98 
Варенье клубничное Лукашинские 450г,257.98 
Варенье вишнёвое без косточки Лукашинские 450г,257.98 
Варенье абрикосовое Лукашинские 450г,257.98 
Варенье чёрносмородиновое Лукашинские 450г,257.98 
Ягода протертая с сахаром брусника Сава 280г,84.98 
Ягода протертая с сахаром черника Сава 280г,84.98 
Сироп облепиха Lesnika 300мл,147.98 
Сироп черносмородиновый Lesnika 300мл,147.98 
Сироп клюква Lesnika 300мл,147.98 
Варенье малина Лукашинские 450г,379.89 
Джем черная смородина Махеев 300г,129.98 
Джем малина Махеев 300г,149.98 
Джем малина 400г Махеев,259.98 
Джем клубника 400г ст/б Махеев,229.98 
Джем клубника Махеев 300г,129.98 
Сироп черника Lesnika 500мл,239.98 
Сироп шиповник Lesnika 300мл,147.98 
Молоко кокосовое 60% Aroy-d 400мл,219.89 
Сироп шиповник Lesnika 500мл,239.98 
