"Пиво Сладовар пшеничное безалкогольное светлое 0,5л",79.97 
"Пиво Майзелс Вайс Алькогольфри светлое безалкогольное 0,5л",164.79 
"Пиво Паулайнер Вайзен нефильтрованное безалкогольное 0,5л",189.69 
"Пиво Балтика №0 безалкогольное лайм 0,33л",53.69 
"Напиток пивной безалкогольный Kaiserdom Lemon светлое 0,5л",99.96 
"Пиво безалкогольное Kaiserdom Lager светлое 0,5л",99.96 
"Пиво безалкогольное Kaiserdom Hefe-Weisbier светлое 0,5л",99.96 
"Пиво Stella Artois безалкогольное 0,44л",84.98 
"Напиток пивной безалкогольный Амстел 0% Натур Апельсин/Грейпфрут 0,43л",59.99 
"Вино Dr. Zenzen Deutscher красное безалкогольное 0,75л",599.69 
"Напиток пивной Карлсберг Пилснер безалкогольный 0,45л 0,5%",67.96 
"Напиток Вино безалкогольное Лайт Хаус Ред 0,75л 0,5%",599.87 
"Напиток пивной Heineken безалкогольный 0,43л",69.98 
"Напиток пивной Amstel Натур Лайм/Мята безалкогольный 0,43л",59.99 
"Напиток пивной Ловенбрау пшеничное безалкогольный 0,45л",67.98 
"Напиток пивной ESSA ананас/грейпфрут безалкогольное 0,45л",77.78 
"Напиток пивной Amstel Натур Малина безалкогольный 0,43л",59.99 
"Пиво Tsingtao светлое безалкогольное 0,33л",89.98 
"Пиво Bud светлое безалкогольное 0,45л",74.99 
"Вино Dr. Zenzen Deutscher белое безалкогольное 0,75л",599.69 
"Пиво Hite Free светлое безалкогольное 0,355л",84.97 
"Пиво Афанасий Марочное светлое безалкогольное 0,5л",88.78 
"Напиток пивной Hoegaarden 0,33л 0%",89.99 
"Пиво Балтика №0 светлое безалкогольное 0,45л",54.99 
"Пиво Балтика №0 пшеничное нефильтрованное безалкогольное 0,45л",54.99 
